cod_name;cod_mun;state
MANAUS;1302603;AM
ANANINDEUA;1500800;PA
BARCARENA;1501303;PA
BELÉM;1501402;PA
BENEVIDES;1501501;PA
MARITUBA;1504422;PA
MACAPÁ;1600303;AP
SANTANA;1600600;AP
PAÇO DO LUMIAR;2107506;MA
RAPOSA;2109452;MA
SÃO JOSÉ DE RIBAMAR;2111201;MA
SÃO LUÍS;2111300;MA
TIMON;2112209;MA
DEMERVAL LOBÃO;2203305;PI
TERESINA;2211001;PI
AQUIRAZ;2301000;CE
BARBALHA;2301901;CE
CAUCAIA;2303709;CE
CRATO;2304202;CE
EUSÉBIO;2304285;CE
FORTALEZA;2304400;CE
ITAITINGA;2306256;CE
JUAZEIRO DO NORTE;2307304;CE
MARACANAÚ;2307650;CE
MARANGUAPE;2307700;CE
PACATUBA;2309706;CE
PARNAMIRIM;2403251;RN
EXTREMOZ;2403608;RN
MACAÍBA;2407104;RN
NATAL;2408102;RN
NÍSIA FLORESTA;2408201;RN
SÃO GONÇALO DO AMARANTE;2412005;RN
SÃO JOSÉ DE MIPIBU;2412203;RN
BAYEUX;2501807;PB
CABEDELO;2503209;PB
CAMPINA GRANDE;2504009;PB
CRUZ DO ESPÍRITO SANTO;2504900;PB
JOÃO PESSOA;2507507;PB
LAGOA SECA;2508307;PB
QUEIMADAS;2512507;PB
SANTA RITA;2513703;PB
ABREU E LIMA;2600054;PE
CABO DE SANTO AGOSTINHO;2602902;PE
CAMARAGIBE;2603454;PE
ESCADA;2605202;PE
IGARASSU;2606804;PE
ILHA DE ITAMARACÁ;2607604;PE
ITAPISSUMA;2607752;PE
JABOATÃO DOS GUARARAPES;2607901;PE
MORENO;2609402;PE
OLINDA;2609600;PE
PAUDALHO;2610608;PE
PAULISTA;2610707;PE
PETROLINA;2611101;PE
RECIFE;2611606;PE
SÃO LOURENÇO DA MATA;2613701;PE
COQUEIRO SECO;2702207;AL
MACEIÓ;2704302;AL
RIO LARGO;2707701;AL
SANTA LUZIA DO NORTE;2707909;AL
SATUBA;2708907;AL
ARACAJU;2800308;SE
BARRA DOS COQUEIROS;2800605;SE
LARANJEIRAS;2803609;SE
MARUIM;2804003;SE
NOSSA SENHORA DO SOCORRO;2804805;SE
SÃO CRISTÓVÃO;2806701;SE
CAMAÇARI;2905701;BA
CANDEIAS;2906501;BA
DIAS D'ÁVILA;2910057;BA
FEIRA DE SANTANA;2910800;BA
ILHÉUS;2913606;BA
ITABUNA;2914802;BA
ITAPARICA;2916104;BA
JUAZEIRO;2918407;BA
LAURO DE FREITAS;2919207;BA
MADRE DE DEUS;2919926;BA
MATA DE SÃO JOÃO;2921005;BA
SALVADOR;2927408;BA
SÃO FRANCISCO DO CONDE;2929206;BA
SÃO SEBASTIÃO DO PASSÉ;2929503;BA
SIMÕES FILHO;2930709;BA
BELO HORIZONTE;3106200;MG
BETIM;3106705;MG
BRUMADINHO;3109006;MG
CAETÉ;3110004;MG
CAPIM BRANCO;3112505;MG
CHÁCARA;3115904;MG
CONFINS;3117876;MG
CONTAGEM;3118601;MG
CORONEL FABRICIANO;3119401;MG
ESMERALDAS;3124104;MG
IBIRITÉ;3129806;MG
IGARAPÉ;3130101;MG
IPABA;3131158;MG
IPATINGA;3131307;MG
JUATUBA;3136652;MG
JUIZ DE FORA;3136702;MG
LAGOA SANTA;3137601;MG
MÁRIO CAMPOS;3140159;MG
MATEUS LEME;3140704;MG
MATIAS BARBOSA;3140803;MG
MATOZINHOS;3141108;MG
NOVA LIMA;3144805;MG
PEDRO LEOPOLDO;3149309;MG
PRUDENTE DE MORAIS;3153608;MG
RAPOSOS;3153905;MG
RIBEIRÃO DAS NEVES;3154606;MG
RIO ACIMA;3154804;MG
SABARÁ;3156700;MG
SANTA LUZIA;3157807;MG
SANTANA DO PARAÍSO;3158953;MG
SÃO JOAQUIM DE BICAS;3162922;MG
SÃO JOSÉ DA LAPA;3162955;MG
SARZEDO;3165537;MG
SETE LAGOAS;3167202;MG
TIMÓTEO;3168705;MG
UBERLÂNDIA;3170206;MG
VESPASIANO;3171204;MG
CARIACICA;3201308;ES
GUARAPARI;3202405;ES
SERRA;3205002;ES
VIANA;3205101;ES
VILA VELHA;3205200;ES
VITÓRIA;3205309;ES
BARRA DO PIRAÍ;3300308;RJ
BARRA MANSA;3300407;RJ
BELFORD ROXO;3300456;RJ
CAMPOS DOS GOYTACAZES;3301009;RJ
DUQUE DE CAXIAS;3301702;RJ
GUAPIMIRIM;3301850;RJ
ITABORAÍ;3301900;RJ
ITAGUAÍ;3302007;RJ
JAPERI;3302270;RJ
MAGÉ;3302502;RJ
MANGARATIBA;3302601;RJ
MARICÁ;3302700;RJ
NILÓPOLIS;3303203;RJ
NITERÓI;3303302;RJ
NOVA IGUAÇU;3303500;RJ
PARACAMBI;3303609;RJ
PETRÓPOLIS;3303906;RJ
PINHEIRAL;3303955;RJ
PIRAÍ;3304003;RJ
QUEIMADOS;3304144;RJ
RIO DE JANEIRO;3304557;RJ
SÃO GONÇALO;3304904;RJ
SÃO JOÃO DE MERITI;3305109;RJ
SEROPÉDICA;3305554;RJ
VOLTA REDONDA;3306305;RJ
ALUMÍNIO;3501152;SP
AMERICANA;3501608;SP
ARAÇARIGUAMA;3502754;SP
ARAÇOIABA DA SERRA;3502903;SP
ARUJÁ;3503901;SP
ATIBAIA;3504107;SP
BADY BASSITT;3504602;SP
BARUERI;3505708;SP
BERTIOGA;3506359;SP
BOITUVA;3507001;SP
BOM JESUS DOS PERDÕES;3507100;SP
CABREÚVA;3508405;SP
CAÇAPAVA;3508504;SP
CAIEIRAS;3509007;SP
CAJAMAR;3509205;SP
CAMPINAS;3509502;SP
CAMPO LIMPO PAULISTA;3509601;SP
CARAPICUÍBA;3510609;SP
CEDRAL;3511300;SP
COSMÓPOLIS;3512803;SP
COTIA;3513009;SP
CUBATÃO;3513504;SP
DIADEMA;3513801;SP
EMBU DAS ARTES;3515004;SP
EMBU-GUAÇU;3515103;SP
FERRAZ DE VASCONCELOS;3515707;SP
FRANCISCO MORATO;3516309;SP
FRANCO DA ROCHA;3516408;SP
GUAPIAÇU;3517505;SP
GUARAREMA;3518305;SP
GUARUJÁ;3518701;SP
GUARULHOS;3518800;SP
HORTOLÂNDIA;3519071;SP
INDAIATUBA;3520509;SP
IPERÓ;3521002;SP
ITANHAÉM;3522109;SP
ITAPECERICA DA SERRA;3522208;SP
ITAPEVI;3522505;SP
ITAQUAQUECETUBA;3523107;SP
ITATIBA;3523404;SP
ITU;3523909;SP
ITUPEVA;3524006;SP
JACAREÍ;3524402;SP
JAGUARIÚNA;3524709;SP
JANDIRA;3525003;SP
JARDINÓPOLIS;3525102;SP
JUNDIAÍ;3525904;SP
JUQUITIBA;3526209;SP
LOUVEIRA;3527306;SP
MAIRINQUE;3528403;SP
MAIRIPORÃ;3528502;SP
MAUÁ;3529401;SP
MIRASSOL;3530300;SP
MOGI DAS CRUZES;3530607;SP
MONGAGUÁ;3531100;SP
MONTE MOR;3531803;SP
MORUNGABA;3532009;SP
NAZARÉ PAULISTA;3532405;SP
NOVA ODESSA;3533403;SP
OSASCO;3534401;SP
PAULÍNIA;3536505;SP
PEDREIRA;3537107;SP
PINDAMONHANGABA;3538006;SP
PIRACAIA;3538600;SP
PIRAPORA DO BOM JESUS;3539103;SP
POÁ;3539806;SP
PORTO FELIZ;3540606;SP
PRAIA GRANDE;3541000;SP
RIBEIRÃO PIRES;3543303;SP
RIBEIRÃO PRETO;3543402;SP
RIO GRANDE DA SERRA;3544103;SP
SALTO;3545209;SP
SALTO DE PIRAPORA;3545308;SP
SANTA BÁRBARA D'OESTE;3545803;SP
SANTA ISABEL;3546801;SP
SANTANA DE PARNAÍBA;3547304;SP
SANTO ANDRÉ;3547809;SP
SANTOS;3548500;SP
SÃO BERNARDO DO CAMPO;3548708;SP
SÃO CAETANO DO SUL;3548807;SP
SÃO JOSÉ DO RIO PRETO;3549805;SP
SÃO JOSÉ DOS CAMPOS;3549904;SP
SÃO LOURENÇO DA SERRA;3549953;SP
SÃO PAULO;3550308;SP
SÃO ROQUE;3550605;SP
SÃO VICENTE;3551009;SP
SERRANA;3551504;SP
SERTÃOZINHO;3551702;SP
SOROCABA;3552205;SP
SUMARÉ;3552403;SP
SUZANO;3552502;SP
TABOÃO DA SERRA;3552809;SP
TAUBATÉ;3554102;SP
TREMEMBÉ;3554805;SP
VALINHOS;3556206;SP
VARGEM GRANDE PAULISTA;3556453;SP
VÁRZEA PAULISTA;3556503;SP
VINHEDO;3556701;SP
VOTORANTIM;3557006;SP
ALMIRANTE TAMANDARÉ;4100400;PR
ARAUCÁRIA;4101804;PR
CAMBÉ;4103701;PR
CAMPINA GRANDE DO SUL;4104006;PR
CAMPO LARGO;4104204;PR
CAMPO MAGRO;4104253;PR
COLOMBO;4105805;PR
CURITIBA;4106902;PR
FAZENDA RIO GRANDE;4107652;PR
FLORESTA;4107900;PR
IBIPORÃ;4109807;PR
ITAPERUÇU;4111258;PR
LONDRINA;4113700;PR
MANDAGUARI;4114203;PR
MARIALVA;4114807;PR
MARINGÁ;4115200;PR
PAIÇANDU;4117503;PR
PINHAIS;4119152;PR
PIRAQUARA;4119509;PR
QUATRO BARRAS;4120804;PR
RIO BRANCO DO SUL;4122206;PR
ROLÂNDIA;4122404;PR
SÃO JOSÉ DOS PINHAIS;4125506;PR
SARANDI;4126256;PR
ARAQUARI;4201307;SC
BIGUAÇU;4202305;SC
FLORIANÓPOLIS;4205407;SC
GARUVA;4205803;SC
GOVERNADOR CELSO RAMOS;4206009;SC
GUARAMIRIM;4206504;SC
JARAGUÁ DO SUL;4208906;SC
JOINVILLE;4209102;SC
PALHOÇA;4211900;SC
PAULO LOPES;4212304;SC
SANTO AMARO DA IMPERATRIZ;4215703;SC
SÃO JOSÉ;4216602;SC
SCHROEDER;4217402;SC
ALVORADA;4300604;RS
ARARICÁ;4300877;RS
CACHOEIRINHA;4303103;RS
CAMPO BOM;4303905;RS
CANOAS;4304606;RS
CAPELA DE SANTANA;4304689;RS
CAXIAS DO SUL;4305108;RS
DOIS IRMÃOS;4306403;RS
ELDORADO DO SUL;4306767;RS
ESTÂNCIA VELHA;4307609;RS
ESTEIO;4307708;RS
FARROUPILHA;4307906;RS
GRAVATAÍ;4309209;RS
GUAÍBA;4309308;RS
IVOTI;4310801;RS
LINDOLFO COLLOR;4311627;RS
MORRO REUTER;4312476;RS
NOVA SANTA RITA;4313375;RS
NOVO HAMBURGO;4313409;RS
PELOTAS;4314407;RS
PORTÃO;4314803;RS
PORTO ALEGRE;4314902;RS
RIO GRANDE;4315602;RS
SÃO LEOPOLDO;4318705;RS
SAPIRANGA;4319901;RS
SAPUCAIA DO SUL;4320008;RS
VIAMÃO;4323002;RS
CAMPO GRANDE;5002704;MS
CUIABÁ;5103403;MT
VÁRZEA GRANDE;5108402;MT
ABADIA DE GOIÁS;5200050;GO
ÁGUAS LINDAS DE GOIÁS;5200258;GO
APARECIDA DE GOIÂNIA;5201405;GO
CIDADE OCIDENTAL;5205497;GO
FORMOSA;5208004;GO
GOIÂNIA;5208707;GO
GOIANIRA;5208806;GO
LUZIÂNIA;5212501;GO
NERÓPOLIS;5214507;GO
NOVO GAMA;5215231;GO
PADRE BERNARDO;5215603;GO
PLANALTINA;5217609;GO
SANTO ANTÔNIO DO DESCOBERTO;5219753;GO
SENADOR CANEDO;5220454;GO
TRINDADE;5221403;GO
VALPARAÍSO DE GOIÁS;5221858;GO
BRASÍLIA;5300108;DF
